pid,station_name,station_lat,station_lng,flows_in,flows_out,flows_all
1,Albany Ave & Montrose Ave,41.961041,-87.705866,353,326,679
2,Sawyer Ave & Irving Park Rd,41.95358618,-87.7093108,332,319,651
3,Jeffery Blvd & 71st St,41.76663824,-87.57645011,155,155,310
4,Jeffery Blvd & 76th St,41.75712007,-87.57583936,41,44,85
5,Stony Island Ave & 71st St,41.76649294,-87.58646088,59,51,110
6,Stony Island Ave & 75th St,41.75866967,-87.58688287,41,43,84
7,Conservatory Dr & Lake St,41.885502,-87.716866,216,235,451
8,Kedzie Ave & Lake St,41.88460329,-87.70630374,222,223,445
9,Sacramento Blvd & Franklin Blvd,41.89046879,-87.70260751,160,170,330
10,Adler Planetarium,41.866095,-87.607267,2983,2731,5714
11,Burnham Harbor,41.856268,-87.613348,4361,4407,8768
12,Calumet Ave & 18th St,41.857611,-87.619407,2879,2796,5675
13,Calumet Ave & 21st St,41.85418425,-87.61915374,1091,1120,2211
14,Field Museum,41.86529817,-87.6182625,1387,1434,2821
15,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,5450,5480,10930
16,McCormick Place,41.85137517,-87.61883465,1099,1071,2170
17,Michigan Ave & 14th St,41.86453567,-87.6236155,3108,2873,5981
18,Michigan Ave & 18th St,41.857813,-87.62455,3334,3013,6347
19,Shedd Aquarium,41.86722596,-87.61535539,3812,3531,7343
20,State St & 19th St,41.856594,-87.627542,911,843,1754
21,Wabash Ave & 16th St,41.86035883,-87.62580483,3585,3277,6862
22,Wabash Ave & Cermak Rd,41.852619,-87.626488,1144,976,2120
23,Wabash Ave & Roosevelt Rd,41.86702317,-87.62592967,7725,7445,15170
24,Clark St & 9th St (AMLI),41.870816,-87.631246,1643,1412,3055
25,Delano Ct & Roosevelt Rd,41.867491,-87.63219,2126,2338,4464
26,Wabash Ave & 9th St,41.8707485,-87.62577717,4182,4349,8531
27,South Shore Dr & 71st St,41.766409,-87.565688,244,276,520
28,Yates Blvd & 75th St,41.758768,-87.56644,79,66,145
29,Bennett Ave & 79th St,41.751785,-87.578496,17,24,41
30,Stony Island Ave & South Chicago Ave,41.751173,-87.585337,15,16,31
31,Damen Ave & Pershing Rd,41.823192,-87.676597,80,54,134
32,Leavitt St & Archer Ave,41.82879202,-87.68060446,312,264,576
33,Wood St & 35th St,41.83015683,-87.67045933,173,154,327
34,Central Park Blvd & 5th Ave,41.875679,-87.71547,22,25,47
35,Kedzie Ave & Harrison St,41.87359967,-87.70487075,23,19,42
36,Kedzie Ave & Roosevelt Rd,41.86649278,-87.70649618,74,58,132
